rnd,pick,team,player,pos,school,state,bonus,year
9,270,Rays,Peter Bayer,RHP,Cal Poly Pomona,CA,7500,2016
9,271,Orioles,Lucas Humpal,RHP,Texas State,TX,10000,2016
9,272,Indians,Hosea Nelson,OF,Clarendon (Texas) JC,TX,125000,2016
9,273,Twins,Mitchell Kranson,C,California,CA,90000,2016
9,274,Nationals,Joey Harris,C,Gonzaga,WA,10000,2016
9,275,Giants,Caleb Baragar,LHP,Indiana,IN,20000,2016
9,276,Angels,Michael Barash,C,Texas A&M,TX,20000,2016
9,277,Astros,Ryan Hartman,LHP,Tennessee Wesleyan,TN,10000,2016
9,278,Yankees,Tim Lynch,1B,Southern Mississippi,MS,10000,2016
9,279,Rangers,Hever Bueno,RHP,Arizona State,AZ,164300,2016
9,280,Mets,Colin Holderman,RHP,Heartland (Ill.) CC,IL,400000,2016
9,281,Dodgers,Tony Gonsolin,RHP,St. Mary's,CA,2500,2016
9,282,Blue Jays,Nick Hartman,RHP,Old Dominion,VA,163100,2016
9,283,Royals,Walker Sheller,RHP,Stetson,FL,115000,2016
9,284,Cubs,Duncan Robinson,RHP,Dartmouth,NH,30000,2016
9,285,Pirates,Clark Eagan,OF,Arkansas,AR,160000,2016
9,286,Cardinals,Matt Fiedler,OF,Minnesota,MN,100000,2016
10,287,Phillies,Julian Garcia,RHP,Metro State (Colo.),CO,80000,2016
10,288,Reds,Lucas Benenati,RHP,Kansas State,KS,5000,2016
10,289,Braves,Marcus Mooney,SS,South Carolina,SC,5000,2016
10,290,Rockies,Vince Fernandez,OF,UC Riverside,CA,160100,2016
10,291,Brewers,Blake Fox,LHP,Rice,TX,10000,2016
10,292,Athletics,Mitchell Jordan,RHP,Stetson,FL,200000,2016
10,293,Marlins,Dylan Lee,LHP,Fresno State,CA,10000,2016
10,294,Padres,Boomer White,2B,Texas A&M,TX,30000,2016
10,295,Tigers,Sam Machonis,OF,Florida Southern,FL,25000,2016
10,296,White Sox,Zach Remillard,3B,Coastal Carolina,SC,10000,2016
10,297,Mariners,David Greer,3B,Arizona State,AZ,135000,2016
10,298,Red Sox,Santiago Espinal,SS,Miami-Dade JC,FL,50000,2016
10,299,Diamondbacks,Stephen Smith,OF,Texas Tech,TX,156000,2016
10,300,Rays,Spencer Jones,RHP,Washington,WA,7500,2016
10,301,Orioles,Cody Dube,RHP,Keene State (N.H.),NH,5000,2016
10,302,Indians,Samad Taylor,SS,Corona (Calif.) HS,CA,125000,2016
10,303,Twins,Brandon Lopez,SS,Miami,FL,30000,2016
10,304,Nationals,Paul Panaccione,SS,Grand Canyon (Ariz.),AZ,10000,2016
10,305,Giants,Alex Bostic,LHP,Clemson,SC,156600,2016
10,306,Angels,Andrew Vinson,RHP,Texas A&M,TX,10000,2016
10,307,Astros,Dustin Hunt,RHP,Northeastern,MA,130000,2016
10,308,Yankees,Trevor Lane,LHP,Illinois-Chicago,IL,10000,2016
10,309,Rangers,Josh Merrigan,OF,Georgia-Gwinnett,GA,5000,2016
10,310,Mets,Gene Cone,OF,South Carolina,SC,150000,2016
10,311,Dodgers,Kevin Lachance,SS,Maryland-Baltimore County,MD,2500,2016
10,312,Blue Jays,Kirby Snead,LHP,Florida,FL,125000,2016
10,313,Royals,Richard Lovelady,LHP,Kennesaw State,GA,100000,2016
10,314,Cubs,Dakota Mekkes,RHP,Michigan State,MI,275000,2016
10,315,Pirates,Matt Anderson,RHP,Morehead State,KY,10000,2016
10,316,Cardinals,Danny Hudzina,3B,Western Kentucky,KY,3000,2016
11,317,Phillies,Josh Stephen,OF,"Mater Dei HS, Santa Ana, Calif.",CA,600000,2016
11,318,Reds,Joel Kuhnel,RHP,Texas-Arlington,TX,125000,2016
11,319,Braves,Matt Rowland,RHP,"Pope HS, Marietta, Ga.",GA,400000,2016
11,320,Rockies,Bryan Baker,RHP,North Florida,FL,100000,2016
11,321,Brewers,Chad McClanahan,3B,"Brophy Prep, Phoenix",AZ,1200000,2016
11,322,Athletics,Eli White,SS,Clemson,SC,100000,2016
11,323,Marlins,Chad Smith,RHP,Mississippi,MS,100000,2016
11,324,Padres,Tre Carter,OF,Soddy-Daisy (Tenn.) HS,TN,100000,2016
11,325,Tigers,Zac Houston,RHP,Mississippi State,MS,190000,2016
11,326,White Sox,Ian Hamilton,RHP,Washington State,WA,101800,2016
11,327,Mariners,Michael Koval,RHP,Cal Poly Pomona,CA,100000,2016
11,328,Red Sox,Nick Quintana,SS,"Arbor View HS, Las Vegas",NV,Pool,2016
11,329,Diamondbacks,Jake Polancic,RHP,"Yale SS, Abbotsford, B.C.",BC,100000,2016
11,330,Rays,Zack Thompson,LHP,"Wapahani HS, Selma, Ind.",IN,Pool,2016
11,331,Orioles,Zach Muckenhirn,LHP,North Dakota,ND,100000,2016
11,332,Indians,Andrew Calica,OF,UC Santa Barbara,CA,100000,2016
11,333,Twins,Tyler Benninghoff,RHP,"Rockhurst HS, Kansas City, Mo.",MO,600000,2016
11,334,Nationals,Armond Upshaw,OF,Pensacola State (Fla.) JC,FL,400000,2016
11,335,Giants,Jason Delay,C,Vanderbilt,TN,Pool,2016
11,336,Angels,Brennon Lund,OF,Brigham Young,UT,100000,2016
11,337,Astros,Chad Donato,RHP,West Virginia,WV,100000,2016
11,338,Yankees,Connor Jones,LHP,Georgia,GA,100000,2016
11,339,Rangers,Joe Barlow,RHP,Salt Lake CC,UT,85000,2016
11,340,Mets,Cameron Planck,RHP,"Rowan County HS, Morehead, Ky.",KY,1000001,2016
11,341,Dodgers,A.J. Alexy,RHP,"Twin Valley HS, Elverson, Pa.",PA,597500,2016
11,342,Blue Jays,Travis Hosterman,LHP,"Hagerty HS, Oviedo, Fla.",FL,400000,2016
11,343,Royals,Vance Vizcaino,OF,Stetson,FL,105000,2016
11,344,Cubs,Michael Rucker,RHP,Brigham Young,UT,180000,2016
11,345,Pirates,Max Kranick,RHP,"Valley View HS, Archbald, Pa.",PA,300000,2016
11,346,Cardinals,John Kilichowski,LHP,Vanderbilt,TN,200000,2016
12,347,Phillies,Justin Miller,RHP,"Central HS, Fresno",CA,100000,2016
12,348,Reds,Cassidy Brown,C,Loyola Marymount,CA,120000,2016
12,349,Braves,Brandon S. White,RHP,Lander (S.C.),SC,100000,2016
