rnd,pick,team,player,pos,school,state,bonus
7,209,Diamondbacks,Jordan Watson,LHP,Science and Arts of Oklahoma,OK,"$110,000 "
7,210,Rays,J.D. Busfield,RHP,Loyola Marymount,CA,"$172,500 "
7,211,Orioles,Preston Palmeiro,1B,North Carolina State,NC,"$204,700 "
7,212,Indians,Michael Tinsley,C,Kansas,KS,"$175,000 "
7,213,Twins,Matt Albanese,OF,Bryant,RI,"$185,000 "
7,214,Nationals,Jake Noll,2B,Florida Gulf Coast,FL,"$190,000 "
7,215,Giants,Garrett Williams,LHP,Oklahoma State,OK,"$250,000 "
7,216,Angels,Jordan Zimmerman,2B,Michigan State,MI,"$175,000 "
7,217,Astros,Tyler Buffet,RHP,Oklahoma State,OK,Pool
7,218,Yankees,Keith Skinner,C,North Florida,FL,"$10,000 "
7,219,Rangers,Sam Huff,C,"Arcadia HS, Phoenix",AZ,"$225,000 "
7,220,Mets,Austin McGeorge,RHP,Long Beach State,CA,"$175,000 "
7,221,Dodgers,Luke Raley,OF,Lake Erie (Ohio),OH,"$147,500 "
7,222,Blue Jays,Andy Ravel,RHP,Kent State,OH,"$186,900 "
7,223,Royals,Travis Eckert,RHP,Oregon State,OR,"$50,000 "
7,224,Cubs,Michael Cruz,C,Bethune-Cookman,FL,"$75,000 "
7,225,Pirates,Brent Gibbs,C,Central Arizona JC,AZ,"$150,000 "
7,226,Cardinals,Andrew Knizner,C,North Carolina State,NC,"$185,300 "
8,227,Phillies,Grant Dyer,RHP,UCLA,CA,"$175,000 "
8,228,Reds,John Sansone,2B,Florida State,FL,"$15,000 "
8,229,Braves,Taylor Hyssong,LHP,UNC Wilmington,NC,"$10,000 "
8,230,Rockies,Ty Culbreth,LHP,Texas,TX,"$20,000 "
8,231,Brewers,Francisco Thomas,SS,"Osceola HS, Kissimmee, Fla.",FL,"$200,000 "
8,232,Athletics,Will Gilbert,LHP,North Carolina State,NC,"$75,000 "
8,233,Marlins,Aaron Knapp,OF,California,CA,"$170,000 "
8,234,Padres,Ben Sheckler,LHP,Cornerstone (Mich.),MI,"$160,000 "
8,235,Tigers,Jacob Robson,OF,Mississippi State,MS,"$181,600 "
8,236,White Sox,Nate Nolan,C,St. Mary's,CA,"$170,000 "
8,237,Mariners,Nick Zammarelli,3B,Elon,NC,"$150,000 "
8,238,Red Sox,Alan Marrero,C,"International Baseball Academy, Ceiba, P.R.",PR,"$160,000 "
8,239,Diamondbacks,Ryan January,C,San Jacinto (Texas) JC,TX,"$350,000 "
8,240,Rays,Kenny Rosenberg,LHP,Cal State Northridge,CA,"$167,500 "
8,241,Orioles,Ryan Moseley,RHP,Texas Tech,TX,"$150,000 "
8,242,Indians,Andrew Lantrip,LHP,Houston,TX,"$125,000 "
8,243,Twins,Shane Carrier,OF,Fullerton (Calif.) JC,CA,"$178,200 "
8,244,Nationals,A.J. Bogucki,RHP,North Carolina,NC,"$150,000 "
8,245,Giants,Stephen Woods,RHP,Albany,NY,"$200,000 "
8,246,Angels,Troy Montgomery,OF,Ohio State,OH,"$150,000 "
8,247,Astros,Nick Hernandez,RHP,Houston,TX,"$125,000 "
8,248,Yankees,Dalton Blaser,1B,Cal State Fullerton,CA,"$10,000 "
8,249,Rangers,Tai Tiedemann,RHP,Long Beach CC,CA,"$175,800 "
8,250,Mets,Placido Torres,LHP,Tusculum (Tenn.),TN,"$10,000 "
8,251,Dodgers,Andre Scrubb,RHP,High Point,NC,"$122,500 "
8,252,Blue Jays,Kyle Weatherly,RHP,Grayson (Texas) CC,TX,"$250,000 "
8,253,Royals,Chris DeVito,1B,New Mexico,NM,"$125,000 "
8,254,Cubs,Stephen Ridings,RHP,Haverford (Pa.),PA,"$120,000 "
8,255,Pirates,Dylan Prohoroff,RHP,Cal State Fullerton,CA,"$160,000 "
8,256,Cardinals,Sam Tewes,RHP,Wichita State,KS,"$100,000 "
9,257,Phillies,Blake Quinn,RHP,Cal State Fullerton,CA,"$172,600 "
9,258,Reds,Alex Webb,RHP,British Columbia,BC,"$5,000 "
9,259,Braves,Tyler Neslony,OF,Texas Tech,TX,"$8,000 "
9,260,Rockies,Justin Calomeni,RHP,Cal Poly,CA,"$171,400 "
9,261,Brewers,Trey York,2B,East Tennessee State,TN,"$25,000 "
9,262,Athletics,Dalton Sawyer,LHP,Minnesota,MN,"$45,000 "
9,263,Marlins,Jarrett Rindfleisch,C,Ball State,IN,"$125,000 "
9,264,Padres,Jesse Scholtens,RHP,Wright State,OH,"$1,000 "
9,265,Tigers,Daniel Pinero,SS,Virginia,VA,"$169,600 "
9,266,White Sox,Max Dutto,SS,Menlo (Calif.),CA,"$10,000 "
9,267,Mariners,Jason Goldstein,C,Illinois,IL,"$25,000 "
9,268,Red Sox,Matt McLean,OF,Texas-Arlington,TX,"$10,000 "
9,269,Diamondbacks,Tommy Eveld,RHP,South Florida,FL,"$125,000 "
9,270,Rays,Peter Bayer,RHP,Cal Poly Pomona,CA,"$7,500 "
9,271,Orioles,Lucas Humpal,RHP,Texas State,TX,"$10,000 "
9,272,Indians,Hosea Nelson,OF,Clarendon (Texas) JC,TX,"$125,000 "
9,273,Twins,Mitchell Kranson,C,California,CA,"$90,000 "
